month,day,year,name,location,link
Mar,05,2025,Ballet Folklorico de Mexico,Byham Theater,https://pittsburgh.events/tickets/ballet-folklorico-de-mexico/
Mar,05,2025,Enter The Haggis,City Winery Pittsburgh,https://pittsburgh.events/tickets/enter-the-haggis/
Mar,06,2025,Doc Backer,Crafthouse Stage & Grill,https://pittsburgh.events/tickets/doc-backer/
Mar,06,2025,Disney On Ice,PPG Paints Arena,https://pittsburgh.events/tickets/disney-on-ice/
Mar,06,2025,Sheng Wang,Carnegie of Homestead Music Hall,https://pittsburgh.events/tickets/sheng-wang/
Mar,06,2025,Spring Student Choreography Project,PPU Pittsburgh Playhouse - Complex,https://pittsburgh.events/tickets/spring-student-choreography-project/
Mar,06,2025,Chest Fever,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/chest-fever/
Mar,07,2025,Moana,PPG Paints Arena,https://pittsburgh.events/tickets/moana/
Mar,07,2025,Disney On Ice - Mickey's Search Party,PPG Paints Arena,https://pittsburgh.events/tickets/disney-on-ice-mickeys-search-party/
Mar,07,2025,Arnez J,Pittsburgh Improv,https://pittsburgh.events/tickets/arnez-j/
Mar,07,2025,The Steel Wheels,City Winery Pittsburgh,https://pittsburgh.events/tickets/the-steel-wheels/
Mar,07,2025,Jan Lisiecki,Heinz Hall,https://pittsburgh.events/tickets/jan-lisiecki/
Mar,07,2025,Kraftwerk (Band),Stage AE,https://pittsburgh.events/tickets/kraftwerk-band/
Mar,07,2025,Layto,Crafthouse Stage & Grill,https://pittsburgh.events/tickets/layto/
Mar,08,2025,Disney On Ice Wayfinding with Moana,PPG Paints Arena,https://pittsburgh.events/tickets/disney-on-ice-wayfinding-with-moana/
Mar,08,2025,Kimberly Akimbo,Benedum Center,https://pittsburgh.events/tickets/kimberly-akimbo/
Mar,08,2025,Boston College Eagles Basketball,Petersen Events Center,https://pittsburgh.events/tickets/boston-college-eagles-basketball/
Mar,08,2025,Disney On Ice - Road Trip Adventures,PPG Paints Arena,https://pittsburgh.events/tickets/disney-on-ice-road-trip-adventures/
Mar,09,2025,Pittsburgh Panthers Womens Gymnastics,Fitzgerald Field House,https://pittsburgh.events/tickets/pittsburgh-panthers-womens-gymnastics/
Mar,09,2025,Mozart's Piano Concerto No. 22,Heinz Hall,https://pittsburgh.events/tickets/mozarts-piano-concerto-no-22/
Mar,09,2025,Avery Sunshine,City Winery Pittsburgh,https://pittsburgh.events/tickets/avery-sunshine/
Mar,10,2025,WILLIS,Bottlerocket Social Hall,https://pittsburgh.events/tickets/willis/
Mar,11,2025,Scot Sax,City Winery Pittsburgh,https://pittsburgh.events/tickets/scot-sax/
Mar,11,2025,Vegas Golden Knights,PPG Paints Arena,https://pittsburgh.events/tickets/vegas-golden-knights/
Mar,11,2025,Corook,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/corook/
Mar,12,2025,Lachy Doley,City Winery Pittsburgh,https://pittsburgh.events/tickets/lachy-doley/
Mar,12,2025,Pretty Guardian Sailor Moon,Byham Theater,https://pittsburgh.events/tickets/pretty-guardian-sailor-moon/
Mar,12,2025,Boyzlife,Carnegie Music Hall,https://pittsburgh.events/tickets/boyzlife/
Mar,12,2025,Keith Duffy,Carnegie of Homestead Music Hall,https://pittsburgh.events/tickets/keith-duffy/
Mar,12,2025,Don McMillan,Pittsburgh Improv,https://pittsburgh.events/tickets/don-mcmillan/
Mar,13,2025,Agnostic Front,Crafthouse Stage & Grill,https://pittsburgh.events/tickets/agnostic-front/
Mar,13,2025,Anthony DeVito,Pittsburgh Improv,https://pittsburgh.events/tickets/anthony-devito/
Mar,13,2025,St. Louis Blues,PPG Paints Arena,https://pittsburgh.events/tickets/st-louis-blues/
Mar,14,2025,Rosebud Baker,Pittsburgh Improv,https://pittsburgh.events/tickets/rosebud-baker/
Mar,14,2025,Sharpe Family Singers,Byham Theater,https://pittsburgh.events/tickets/sharpe-family-singers/
Mar,15,2025,Annie,Benedum Center,https://pittsburgh.events/tickets/annie/
Mar,15,2025,New Jersey Devils,PPG Paints Arena,https://pittsburgh.events/tickets/new-jersey-devils/
Mar,15,2025,Marc Roberge,City Winery Pittsburgh,https://pittsburgh.events/tickets/marc-roberge/
Mar,16,2025,Marshall Crenshaw,City Winery Pittsburgh,https://pittsburgh.events/tickets/marshall-crenshaw/
Mar,16,2025,Alton Brown,Benedum Center,https://pittsburgh.events/tickets/alton-brown/
Mar,16,2025,Quicksand,Music Hall at Thunderbird Café & Music Hall,https://pittsburgh.events/tickets/quicksand/
Mar,16,2025,Foil Arms and Hog,Carnegie of Homestead Music Hall,https://pittsburgh.events/tickets/foil-arms-and-hog/
Mar,17,2025,Abbots Cross,City Winery Pittsburgh,https://pittsburgh.events/tickets/abbots-cross/
Mar,18,2025,New York Islanders,PPG Paints Arena,https://pittsburgh.events/tickets/new-york-islanders/
Mar,18,2025,Jack the Whipper,City Winery Pittsburgh,https://pittsburgh.events/tickets/jack-the-whipper/
Mar,18,2025,Thee Sinseers,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/thee-sinseers/
Mar,19,2025,South of Here Tour,Petersen Events Center,https://pittsburgh.events/tickets/south-of-here-tour/
Mar,19,2025,Pittsburgh Symphony Orchestra,Heinz Hall,https://pittsburgh.events/tickets/pittsburgh-symphony-orchestra/
Mar,20,2025,MercyMe,Petersen Events Center,https://pittsburgh.events/tickets/mercyme/
Mar,20,2025,JigJam,City Winery Pittsburgh,https://pittsburgh.events/tickets/jigjam/
Mar,20,2025,Kellen Erskine,Sunken Bus Studios,https://pittsburgh.events/tickets/kellen-erskine/
Mar,20,2025,Ally the Piper,Crafthouse Stage & Grill,https://pittsburgh.events/tickets/ally-the-piper/
Mar,21,2025,Tony Rock,Pittsburgh Improv,https://pittsburgh.events/tickets/tony-rock/
Mar,21,2025,Columbus Blue Jackets,PPG Paints Arena,https://pittsburgh.events/tickets/columbus-blue-jackets/
Mar,21,2025,Cameron Whitcomb,Spirit Hall,https://pittsburgh.events/tickets/cameron-whitcomb/
Mar,21,2025,Joe Pug,City Winery Pittsburgh,https://pittsburgh.events/tickets/joe-pug/
Mar,21,2025,Jeremy Piven,Byham Theater,https://pittsburgh.events/tickets/jeremy-piven/
Mar,21,2025,Rush tribute,Carnegie of Homestead Music Hall,https://pittsburgh.events/tickets/rush-tribute/
Mar,22,2025,Rufus Wainwright,City Winery Pittsburgh,https://pittsburgh.events/tickets/rufus-wainwright/
Mar,22,2025,Sheku Kanneh-Mason,Heinz Hall,https://pittsburgh.events/tickets/sheku-kanneh-mason/
Mar,22,2025,Hartford Athletic,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/hartford-athletic/
Mar,22,2025,Crankdat,Stage AE,https://pittsburgh.events/tickets/crankdat/
Mar,22,2025,The Vindys,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/the-vindys/
Mar,22,2025,Matt Rife,PPG Paints Arena,https://pittsburgh.events/tickets/matt-rife/
Mar,23,2025,Paul Thorn,City Winery Pittsburgh,https://pittsburgh.events/tickets/paul-thorn/
Mar,23,2025,Sarah Shook & The Disarmers,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/sarah-shook-the-disarmers/
Mar,25,2025,Tom Green,City Winery Pittsburgh,https://pittsburgh.events/tickets/tom-green/
Mar,26,2025,MODI,Pittsburgh Improv,https://pittsburgh.events/tickets/modi/
Mar,26,2025,Gregory Alan Isakov,Stage AE,https://pittsburgh.events/tickets/gregory-alan-isakov/
Mar,26,2025,Will Hoge,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/will-hoge/
Mar,27,2025,Fraggle Rock Live,Byham Theater,https://pittsburgh.events/tickets/fraggle-rock-live/
Mar,27,2025,Piano Comedy Wars,Pittsburgh Improv,https://pittsburgh.events/tickets/piano-comedy-wars/
Mar,28,2025,Chase Matthew,Event Center at Rivers Casino Pittsburgh,https://pittsburgh.events/tickets/chase-matthew/
Mar,28,2025,Greg Fitzsimmons,Pittsburgh Improv,https://pittsburgh.events/tickets/greg-fitzsimmons/
Mar,28,2025,Madama Butterfly,Benedum Center,https://pittsburgh.events/tickets/madama-butterfly/
Mar,28,2025,Chromakopia: The World Tour,PPG Paints Arena,https://pittsburgh.events/tickets/chromakopia-the-world-tour/
Mar,28,2025,Danae Hays,Byham Theater,https://pittsburgh.events/tickets/danae-hays/
Mar,28,2025,Henry Cho,Carnegie of Homestead Music Hall,https://pittsburgh.events/tickets/henry-cho/
Mar,29,2025,Luke Kidgell,City Winery Pittsburgh,https://pittsburgh.events/tickets/luke-kidgell/
Mar,29,2025,Birmingham Legion FC,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/birmingham-legion-fc/
Mar,29,2025,Senses - Band,Bottlerocket Social Hall,https://pittsburgh.events/tickets/senses-band/
Mar,29,2025,Tribute to Led Zeppelin,Stage AE,https://pittsburgh.events/tickets/tribute-to-led-zeppelin/
Mar,29,2025,Magnetic Fields,Carnegie Lecture Hall of Oakland,https://pittsburgh.events/tickets/magnetic-fields/
Mar,29,2025,The Birthday Massacre,Crafthouse Stage & Grill,https://pittsburgh.events/tickets/the-birthday-massacre/
Mar,30,2025,Ottawa Senators,PPG Paints Arena,https://pittsburgh.events/tickets/ottawa-senators/
Mar,30,2025,Magnetic Fields Festival,Carnegie Lecture Hall of Oakland,https://pittsburgh.events/tickets/magnetic-fields-festival/
Mar,31,2025,Whitcomb,Spirit Hall,https://pittsburgh.events/tickets/whitcomb/
Mar,31,2025,Honestav,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/honestav/
Apr,01,2025,Vola,Spirit Hall,https://pittsburgh.events/tickets/vola/
Apr,01,2025,Kimberly Akimbo,Benedum Center,https://pittsburgh.events/tickets/kimberly-akimbo/
Apr,02,2025,Al Stewart,City Winery Pittsburgh,https://pittsburgh.events/tickets/al-stewart/
Apr,02,2025,Livingston Taylor,Pittsburgh Winery,https://pittsburgh.events/tickets/livingston-taylor/
Apr,03,2025,A.J. Croce,Carnegie Music Hall,https://pittsburgh.events/tickets/a-j-croce/
Apr,03,2025,Jesus Christ Superstar,Byham Theater,https://pittsburgh.events/tickets/jesus-christ-superstar/
Apr,03,2025,JoJo,Stage AE,https://pittsburgh.events/tickets/jojo/
Apr,04,2025,New York Yankees,PNC Park,https://pittsburgh.events/tickets/new-york-yankees/
Apr,04,2025,Killswitch Engage,Stage AE,https://pittsburgh.events/tickets/killswitch-engage/
Apr,04,2025,Kyle Erby,Pittsburgh Improv,https://pittsburgh.events/tickets/kyle-erby/
Apr,04,2025,Emery,City Winery Pittsburgh,https://pittsburgh.events/tickets/emery/
Apr,04,2025,Taylor Swift Tribute,Hard Rock Cafe Pittsburgh,https://pittsburgh.events/tickets/taylor-swift-tribute/
Apr,05,2025,Pittsburgh Ballet Theatre,August Wilson Center,https://pittsburgh.events/tickets/pittsburgh-ballet-theatre/
Apr,05,2025,The Sickness 25th Anniversary,PPG Paints Arena,https://pittsburgh.events/tickets/the-sickness-25th-anniversary/
Apr,05,2025,Josh Blue,City Winery Pittsburgh,https://pittsburgh.events/tickets/josh-blue/
Apr,05,2025,Chase Rise,Stage AE,https://pittsburgh.events/tickets/chase-rise/
Apr,05,2025,ELEVATION RHYTHM,Petersen Events Center,https://pittsburgh.events/tickets/elevation-rhythm/
Apr,05,2025,Reggie Watts,Spirit Hall,https://pittsburgh.events/tickets/reggie-watts/
Apr,05,2025,Total Eclipse of the Chart: Music of the 80s,Heinz Hall,https://pittsburgh.events/tickets/total-eclipse-of-the-chart-music-of-the-80s/
Apr,05,2025,Robert Cray Band,Carnegie Music Hall,https://pittsburgh.events/tickets/robert-cray-band/
Apr,06,2025,Peter Pan The Musical,Benedum Center,https://pittsburgh.events/tickets/peter-pan-the-musical/
Apr,07,2025,St. Louis Cardinals,PNC Park,https://pittsburgh.events/tickets/st-louis-cardinals/
Apr,07,2025,Boy Band Symphony,Heinz Hall,https://pittsburgh.events/tickets/boy-band-symphony/
Apr,08,2025,The Thorn,Benedum Center,https://pittsburgh.events/tickets/the-thorn/
Apr,08,2025,Faerybabyy,Thunderbird Cafe & Music Hall - Complex,https://pittsburgh.events/tickets/faerybabyy/
Apr,08,2025,Chicago Blackhawks,PPG Paints Arena,https://pittsburgh.events/tickets/chicago-blackhawks/
Apr,08,2025,Explosions In the Sky,Stage AE,https://pittsburgh.events/tickets/explosions-in-the-sky/
Apr,09,2025,Jesus Christ Superstar - Musical,Byham Theater,https://pittsburgh.events/tickets/jesus-christ-superstar-musical/
Apr,09,2025,Legally Blonde - Touring,Pittsburgh Playhouse of Point Park University,https://pittsburgh.events/tickets/legally-blonde-touring/
Apr,09,2025,Connor Price,Stage AE,https://pittsburgh.events/tickets/connor-price/
Apr,10,2025,Kevin James Thornton,Pittsburgh Improv,https://pittsburgh.events/tickets/kevin-james-thornton/
Apr,10,2025,Jerry Seinfeld,Benedum Center,https://pittsburgh.events/tickets/jerry-seinfeld/
Apr,10,2025,Flipturn,Stage AE,https://pittsburgh.events/tickets/flipturn/
Apr,10,2025,Nolan Taylor,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/nolan-taylor/
Apr,11,2025,Ginger Billy,Pittsburgh Improv,https://pittsburgh.events/tickets/ginger-billy/
Apr,11,2025,Kevin Ross,City Winery Pittsburgh,https://pittsburgh.events/tickets/kevin-ross/
Apr,11,2025,Kool Keith,Spirit Hall,https://pittsburgh.events/tickets/kool-keith/
Apr,11,2025,Justin Furstenfeld,Carnegie of Homestead Music Hall,https://pittsburgh.events/tickets/justin-furstenfeld/
Apr,12,2025,Pittsburgh Symphony Orchestra,Heinz Hall,https://pittsburgh.events/tickets/pittsburgh-symphony-orchestra/
Apr,12,2025,Brit Floyd,Benedum Center,https://pittsburgh.events/tickets/brit-floyd/
Apr,13,2025,Boston Bruins,PPG Paints Arena,https://pittsburgh.events/tickets/boston-bruins/
Apr,13,2025,Zoltan Kaszas,Pittsburgh Improv,https://pittsburgh.events/tickets/zoltan-kaszas/
Apr,13,2025,St. Vincent,Stage AE,https://pittsburgh.events/tickets/st-vincent/
Apr,14,2025,Washington Nationals,PNC Park,https://pittsburgh.events/tickets/washington-nationals/
Apr,15,2025,Are You Garbage?,Pittsburgh Improv,https://pittsburgh.events/tickets/are-you-garbage/
Apr,15,2025,Some Like It Hot,Benedum Center,https://pittsburgh.events/tickets/some-like-it-hot/
Apr,15,2025,Rick Wakeman,Carnegie Music Hall,https://pittsburgh.events/tickets/rick-wakeman/
Apr,16,2025,Corb Lund,Pittsburgh Winery,https://pittsburgh.events/tickets/corb-lund/
Apr,16,2025,Hayes Carll,City Winery Pittsburgh,https://pittsburgh.events/tickets/hayes-carll/
Apr,17,2025,Capstan,Spirit Hall,https://pittsburgh.events/tickets/capstan/
Apr,17,2025,Steve Forbert,City Winery Pittsburgh,https://pittsburgh.events/tickets/steve-forbert/
Apr,17,2025,Washington Capitals,PPG Paints Arena,https://pittsburgh.events/tickets/washington-capitals/
Apr,17,2025,B Simone,Pittsburgh Improv,https://pittsburgh.events/tickets/b-simone/
Apr,17,2025,ChoreoLab,George Rowland White Performance Center at PPU Pittsburgh Playhouse - Complex,https://pittsburgh.events/tickets/choreolab/
Apr,18,2025,Cleveland Guardians,PNC Park,https://pittsburgh.events/tickets/cleveland-guardians/
Apr,18,2025,Thunder From Down Under,Event Center at Rivers Casino Pittsburgh,https://pittsburgh.events/tickets/thunder-from-down-under/
Apr,19,2025,Pinkshift,Spirit Hall,https://pittsburgh.events/tickets/pinkshift/
Apr,21,2025,Denzel Curry,Stage AE,https://pittsburgh.events/tickets/denzel-curry/
Apr,21,2025,Bob Dylan,Benedum Center,https://pittsburgh.events/tickets/bob-dylan/
Apr,22,2025,Meshuggah,Stage AE,https://pittsburgh.events/tickets/meshuggah/
Apr,22,2025,I Ya Toyah,Crafthouse Stage & Grill,https://pittsburgh.events/tickets/i-ya-toyah/
Apr,23,2025,EXTC,City Winery Pittsburgh,https://pittsburgh.events/tickets/extc/
