month,day,year,name,location,link
Apr,23,2025,Korine,Bottlerocket Social Hall,https://pittsburgh.events/tickets/korine/
Apr,23,2025,The Lil Smokies,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/the-lil-smokies/
Apr,24,2025,John Waters,City Winery Pittsburgh,https://pittsburgh.events/tickets/john-waters/
Apr,25,2025,Anjelah Johnson,Event Center at Rivers Casino Pittsburgh,https://pittsburgh.events/tickets/anjelah-johnson/
Apr,25,2025,Steph Tolev,Pittsburgh Improv,https://pittsburgh.events/tickets/steph-tolev/
Apr,25,2025,Nightly,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/nightly/
Apr,26,2025,Shen Yun,Benedum Center,https://pittsburgh.events/tickets/shen-yun/
Apr,26,2025,Monster Energy AMA Supercross,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/monster-energy-ama-supercross/
Apr,26,2025,John Waite,City Winery Pittsburgh,https://pittsburgh.events/tickets/john-waite/
Apr,26,2025,Brahms & Beethoven,Heinz Hall,https://pittsburgh.events/tickets/brahms-beethoven/
Apr,27,2025,Sofia Isella,Spirit Hall,https://pittsburgh.events/tickets/sofia-isella/
Apr,29,2025,Chicago Cubs,PNC Park,https://pittsburgh.events/tickets/chicago-cubs/
Apr,29,2025,Bullet for My Valentine,Stage AE,https://pittsburgh.events/tickets/bullet-for-my-valentine/
Apr,29,2025,Trivium,Stage AE,https://pittsburgh.events/tickets/trivium/
Apr,29,2025,The Michigan Rattlers,Crafthouse Stage & Grill,https://pittsburgh.events/tickets/the-michigan-rattlers/
May,01,2025,Chicago Cubs,PNC Park,https://pittsburgh.events/tickets/chicago-cubs/
May,01,2025,Stavros Halkias,Benedum Center,https://pittsburgh.events/tickets/stavros-halkias/
May,01,2025,Howie Day,City Winery Pittsburgh,https://pittsburgh.events/tickets/howie-day/
May,02,2025,San Diego Padres,PNC Park,https://pittsburgh.events/tickets/san-diego-padres/
May,02,2025,Come from Away,Benedum Center,https://pittsburgh.events/tickets/come-from-away/
May,03,2025,California Guitar Trio,Pittsburgh Winery,https://pittsburgh.events/tickets/california-guitar-trio/
May,03,2025,Guitar Trio,City Winery Pittsburgh,https://pittsburgh.events/tickets/guitar-trio/
May,03,2025,North Carolina FC,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/north-carolina-fc/
May,03,2025,Trixie Mattel,Stage AE,https://pittsburgh.events/tickets/trixie-mattel/
May,04,2025,Micky Dolenz,City Winery Pittsburgh,https://pittsburgh.events/tickets/micky-dolenz/
May,04,2025,Nada Surf,Spirit Hall,https://pittsburgh.events/tickets/nada-surf/
May,04,2025,Bruce Hornsby,Byham Theater,https://pittsburgh.events/tickets/bruce-hornsby/
May,04,2025,Deep Sea Diver,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/deep-sea-diver/
May,04,2025,Fortune Feimster,Carnegie of Homestead Music Hall,https://pittsburgh.events/tickets/fortune-feimster/
May,05,2025,TommyInnit,Stage AE,https://pittsburgh.events/tickets/tommyinnit/
May,07,2025,Malandain Ballet Biarritz,Byham Theater,https://pittsburgh.events/tickets/malandain-ballet-biarritz/
May,08,2025,The Pretty Reckless,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/the-pretty-reckless/
May,08,2025,Adrienne Iapalucci,Pittsburgh Improv,https://pittsburgh.events/tickets/adrienne-iapalucci/
May,09,2025,Atlanta Braves,PNC Park,https://pittsburgh.events/tickets/atlanta-braves/
May,09,2025,Trevor Wallace,Byham Theater,https://pittsburgh.events/tickets/trevor-wallace/
May,09,2025,Casey Rocket,Pittsburgh Improv,https://pittsburgh.events/tickets/casey-rocket/
May,09,2025,Hard Work and Holy Water Tour,Stage AE,https://pittsburgh.events/tickets/hard-work-and-holy-water-tour/
May,09,2025,sammy rash,Sunken Bus Studios,https://pittsburgh.events/tickets/sammy-rash/
May,09,2025,Cheekface,Bottlerocket Social Hall,https://pittsburgh.events/tickets/cheekface/
May,14,2025,360 Allstars,Byham Theater,https://pittsburgh.events/tickets/360-allstars/
May,15,2025,Relapse Tour,Stage AE,https://pittsburgh.events/tickets/relapse-tour/
May,16,2025,Chad Daniels,Pittsburgh Improv,https://pittsburgh.events/tickets/chad-daniels/
May,16,2025,Pearl Jam,PPG Paints Arena,https://pittsburgh.events/tickets/pearl-jam/
May,16,2025,Bruce Cockburn,City Winery Pittsburgh,https://pittsburgh.events/tickets/bruce-cockburn/
May,17,2025,Five For Fighting,City Winery Pittsburgh,https://pittsburgh.events/tickets/five-for-fighting/
May,18,2025,Pittsburgh Symphony Orchestra,Heinz Hall,https://pittsburgh.events/tickets/pittsburgh-symphony-orchestra/
May,19,2025,Cincinnati Reds,PNC Park,https://pittsburgh.events/tickets/cincinnati-reds/
May,20,2025,Mayday Parade,Stage AE,https://pittsburgh.events/tickets/mayday-parade/
May,20,2025,Puscifer,Petersen Events Center,https://pittsburgh.events/tickets/puscifer/
May,22,2025,Milwaukee Brewers,PNC Park,https://pittsburgh.events/tickets/milwaukee-brewers/
May,23,2025,Barry Manilow,PPG Paints Arena,https://pittsburgh.events/tickets/barry-manilow/
May,25,2025,The Magical Music Of Harry Potter,Benedum Center,https://pittsburgh.events/tickets/the-magical-music-of-harry-potter/
May,25,2025,The Lord of the Rings & The Hobbit with Billy Boyd,Benedum Center,https://pittsburgh.events/tickets/the-lord-of-the-rings-the-hobbit-with-billy-boyd/
May,25,2025,Avatar the Last Airbender in Concert,Benedum Center,https://pittsburgh.events/tickets/avatar-the-last-airbender-in-concert/
May,28,2025,Nasser,Pittsburgh Improv,https://pittsburgh.events/tickets/nasser/
May,29,2025,Sierra Ferrell,PNC Park,https://pittsburgh.events/tickets/sierra-ferrell/
May,31,2025,Rhode Island Reds FC,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/rhode-island-reds-fc/
Jun,01,2025,Gabriel Rutledge,Sunken Bus Studios,https://pittsburgh.events/tickets/gabriel-rutledge/
Jun,03,2025,Houston Astros,PNC Park,https://pittsburgh.events/tickets/houston-astros/
Jun,04,2025,Yo-Yo Ma,Heinz Hall,https://pittsburgh.events/tickets/yo-yo-ma/
Jun,05,2025,Trisha Paytas,Benedum Center,https://pittsburgh.events/tickets/trisha-paytas/
Jun,05,2025,Notre Dame Fighting Irish Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/notre-dame-fighting-irish-football/
Jun,06,2025,Philadelphia Phillies,PNC Park,https://pittsburgh.events/tickets/philadelphia-phillies/
Jun,06,2025,Kassi Ashton,Petersen Events Center,https://pittsburgh.events/tickets/kassi-ashton/
Jun,06,2025,I've Tried Everything But Therapy Tour,Stage AE,https://pittsburgh.events/tickets/ive-tried-everything-but-therapy-tour/
Jun,07,2025,Jorma Kaukonen,City Winery Pittsburgh,https://pittsburgh.events/tickets/jorma-kaukonen/
Jun,07,2025,Detroit City FC,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/detroit-city-fc/
Jun,07,2025,Mt. Joy,Stage AE,https://pittsburgh.events/tickets/mt-joy/
Jun,08,2025,Pittsburgh Symphony Orchestra,Heinz Hall,https://pittsburgh.events/tickets/pittsburgh-symphony-orchestra/
Jun,09,2025,Miami Marlins,PNC Park,https://pittsburgh.events/tickets/miami-marlins/
Jun,11,2025,Sarah Millican,Byham Theater,https://pittsburgh.events/tickets/sarah-millican/
Jun,12,2025,Slightly Stoopid,Stage AE,https://pittsburgh.events/tickets/slightly-stoopid/
Jun,13,2025,Daisy Grenade,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/daisy-grenade/
Jun,13,2025,Beatrice Rana,Heinz Hall,https://pittsburgh.events/tickets/beatrice-rana/
Jun,13,2025,Jacks Mannequin,Stage AE,https://pittsburgh.events/tickets/jacks-mannequin/
Jun,14,2025,Bob Schneider,City Winery Pittsburgh,https://pittsburgh.events/tickets/bob-schneider/
Jun,15,2025,Hells Belles,City Winery Pittsburgh,https://pittsburgh.events/tickets/hells-belles/
Jun,18,2025,Dolly Parton's Threads,Heinz Hall,https://pittsburgh.events/tickets/dolly-partons-threads/
Jun,19,2025,Adam Ray,Heinz Hall,https://pittsburgh.events/tickets/adam-ray/
Jun,20,2025,Texas Rangers,PNC Park,https://pittsburgh.events/tickets/texas-rangers/
Jun,20,2025,Megan Moroney,Stage AE,https://pittsburgh.events/tickets/megan-moroney/
Jun,21,2025,Tampa Bay Rowdies,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/tampa-bay-rowdies/
Jun,21,2025,John Carroll Kirby,Stage AE,https://pittsburgh.events/tickets/john-carroll-kirby/
Jun,22,2025,Jimmy Carr,Byham Theater,https://pittsburgh.events/tickets/jimmy-carr/
Jun,26,2025,Ryan Adams,Carnegie Music Hall,https://pittsburgh.events/tickets/ryan-adams/
Jun,27,2025,New York Mets,PNC Park,https://pittsburgh.events/tickets/new-york-mets/
Jun,28,2025,Westchester SC,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/westchester-sc/
Jun,30,2025,St. Louis Cardinals,PNC Park,https://pittsburgh.events/tickets/st-louis-cardinals/
Jul,01,2025,St. Louis Cardinals,PNC Park,https://pittsburgh.events/tickets/st-louis-cardinals/
Jul,02,2025,Diana Krall,Heinz Hall,https://pittsburgh.events/tickets/diana-krall/
Jul,04,2025,Pittsburgh Riverhounds,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/pittsburgh-riverhounds/
Jul,05,2025,Rod Stewart,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/rod-stewart/
Jul,12,2025,I've Tried Everything But Therapy Tour,Stage AE,https://pittsburgh.events/tickets/ive-tried-everything-but-therapy-tour/
Jul,12,2025,Teddy Swims,Stage AE,https://pittsburgh.events/tickets/teddy-swims/
Jul,13,2025,Loudoun United FC,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/loudoun-united-fc/
Jul,14,2025,mekons,City Winery Pittsburgh,https://pittsburgh.events/tickets/mekons/
Jul,18,2025,Chicago White Sox,PNC Park,https://pittsburgh.events/tickets/chicago-white-sox/
Jul,18,2025,Ghost (Band),PPG Paints Arena,https://pittsburgh.events/tickets/ghost-band/
Jul,19,2025,A. J. Ghent,City Winery Pittsburgh,https://pittsburgh.events/tickets/a-j-ghent/
Jul,21,2025,Detroit Tigers,PNC Park,https://pittsburgh.events/tickets/detroit-tigers/
Jul,22,2025,Shinedown,PPG Paints Arena,https://pittsburgh.events/tickets/shinedown/
Jul,23,2025,Keshi,Stage AE,https://pittsburgh.events/tickets/keshi/
Jul,24,2025,Hero World Tour,Petersen Events Center,https://pittsburgh.events/tickets/hero-world-tour/
Jul,25,2025,Arizona Diamondbacks,PNC Park,https://pittsburgh.events/tickets/arizona-diamondbacks/
Jul,29,2025,Miami FC,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/miami-fc/
Jul,30,2025,Eric Eaton,Pittsburgh Improv,https://pittsburgh.events/tickets/eric-eaton/
Aug,02,2025,Marvel Studios’ Infinity Saga Concert,Heinz Hall,https://pittsburgh.events/tickets/marvel-studios-infinity-saga-concert/
Aug,02,2025,Rhode Island Reds FC,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/rhode-island-reds-fc/
Aug,04,2025,San Francisco Giants,PNC Park,https://pittsburgh.events/tickets/san-francisco-giants/
Aug,07,2025,Cincinnati Reds,PNC Park,https://pittsburgh.events/tickets/cincinnati-reds/
Aug,07,2025,S.G. Goodman,Stage AE,https://pittsburgh.events/tickets/s-g-goodman/
Aug,08,2025,Craig Conant,Pittsburgh Improv,https://pittsburgh.events/tickets/craig-conant/
Aug,09,2025,Orange County SC,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/orange-county-sc/
Aug,14,2025,Disney Descendants,PPG Paints Arena,https://pittsburgh.events/tickets/disney-descendants/
Aug,16,2025,Charleston Battery,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/charleston-battery/
Aug,18,2025,Toronto Blue Jays,PNC Park,https://pittsburgh.events/tickets/toronto-blue-jays/
Aug,19,2025,From Zero World Tour,PPG Paints Arena,https://pittsburgh.events/tickets/from-zero-world-tour/
Aug,20,2025,Pittsburgh Panthers Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/pittsburgh-panthers-football/
Aug,22,2025,Colorado Rockies,PNC Park,https://pittsburgh.events/tickets/colorado-rockies/
Aug,29,2025,Texas Tailgaters,PNC Park,https://pittsburgh.events/tickets/texas-tailgaters/
Aug,30,2025,Duquesne Dukes Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/duquesne-dukes-football/
Sep,02,2025,Los Angeles Dodgers,PNC Park,https://pittsburgh.events/tickets/los-angeles-dodgers/
Sep,05,2025,Milwaukee Brewers,PNC Park,https://pittsburgh.events/tickets/milwaukee-brewers/
Sep,05,2025,Pittsburgh Panthers Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/pittsburgh-panthers-football/
Sep,06,2025,ToonFusion,David L. Lawrence Convention Center,https://pittsburgh.events/tickets/toonfusion/
Sep,06,2025,Central Michigan Chippewas Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/central-michigan-chippewas-football/
Sep,11,2025,Ashley Gavin,Pittsburgh Improv,https://pittsburgh.events/tickets/ashley-gavin/
Sep,13,2025,Notre Dame Fighting Irish Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/notre-dame-fighting-irish-football/
Sep,13,2025,Louisville City FC,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/louisville-city-fc/
Sep,14,2025,Christian Johnson,Pittsburgh Improv,https://pittsburgh.events/tickets/christian-johnson/
Sep,15,2025,Chicago Cubs,PNC Park,https://pittsburgh.events/tickets/chicago-cubs/
Sep,18,2025,Yacht Rock Revue,Stage AE,https://pittsburgh.events/tickets/yacht-rock-revue/
Sep,19,2025,Athletics,PNC Park,https://pittsburgh.events/tickets/athletics/
Sep,20,2025,Boston College Eagles Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/boston-college-eagles-football/
Sep,25,2025,Peter Antoniou,Pittsburgh Improv,https://pittsburgh.events/tickets/peter-antoniou/
Sep,26,2025,Gavin Adcock,Stage AE,https://pittsburgh.events/tickets/gavin-adcock/
Sep,27,2025,Louisville Cardinals Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/louisville-cardinals-football/
Sep,27,2025,Pittsburgh Riverhounds,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/pittsburgh-riverhounds/
Oct,04,2025,Boston College Eagles Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/boston-college-eagles-football/
Oct,04,2025,Miami Hurricanes Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/miami-hurricanes-football/
Oct,11,2025,NC State Wolfpack Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/nc-state-wolfpack-football/
Oct,11,2025,Indy Eleven,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/indy-eleven/
Oct,12,2025,Foil Arms and Hog,Carnegie of Homestead Music Hall,https://pittsburgh.events/tickets/foil-arms-and-hog/
Oct,25,2025,Phoenix Rising FC,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/phoenix-rising-fc/
Nov,15,2025,Notre Dame Fighting Irish Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/notre-dame-fighting-irish-football/
Nov,19,2025,Nate Bergman,Club Cafe,https://pittsburgh.events/tickets/nate-bergman/
Nov,29,2025,Miami Hurricanes Football,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/miami-hurricanes-football/
