month_click,title,dates,location,link,image
0,Family Day,"Saturday, March 1, 2025 | 12:00 PM - 03:00 PM",Bitz Opera Factory,https://pittsburghopera.org/calendar/family-day-2025,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/0561%20Family%20Day%202024.jpeg
0,The Way Of Tea: Ceremony And Recital,"Monday, March 10, 2025 | 06:00 PM - 08:30 PM","The Art Room, 2010 Smallman St, Pittsburgh PA 15222",https://pittsburghopera.org/calendar/the-way-of-tea,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/Tea%20Ceremony%20Materials-Sq.png
0,"Panel Discussion: Womenâ€™S Role In Tech, Video Games, Anime, Manga, And Comic Books","Thursday, March 13, 2025 | 06:30 PM - 07:30 PM","East Liberty branch of the Carnegie Library of Pittsburgh
130 S Whitfield St, Pittsburgh, PA 15206","https://www.google.com/maps/place/Carnegie+Library+of+Pittsburgh+-+East+Liberty/@40.4608869,-79.9265435,17z/data=!3m1!4b1!4m6!3m5!1s0x8834f273a2634b83:0xfaa17b3b5e9302a5!8m2!3d40.4608869!4d-79.9265435!16s%2Fg%2F1tcx25dl!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoASAFQAw%3D%3D",https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/bfly_287.jpg
0,Madama Butterfly Preview On WQED-FM 89.3 And Wqed.Org/Fm,"Saturday, March 15, 2025 | 12:30 PM",WQED-FM 89.3 and wqed.org/fm,http://wqed.org/fm/,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/events/WQED_PMF.png
0,Madama Butterfly Preview On WQED-FM 89.3 And Wqed.Org/Fm,"Friday, March 21, 2025 | 07:00 PM",WQED-FM 89.3 and wqed.org/fm,http://wqed.org/fm/,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/events/WQED_PMF.png
0,Pre-Opera Talk,"Saturday, March 22, 2025 | 07:00 PM",Benedum Center,https://pittsburghopera.org/calendar/pre-opera-talkbutterfly,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/0012%20Barber%20Opening%20Night.jpg
0,LGBTQ+/Ally Night,"Saturday, March 22, 2025 | 07:00 PM",Benedum Center,https://pittsburghopera.org/calendar/lgbtqally25,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/0018%20New%20Guard%20@%20La%20Traviata.jpg
0,MADAMA BUTTERFLY,"Saturday, March 22, 2025 | 08:00 PM",N/A,https://www.pittsburghopera.org/season/madama-butterfly,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/butterfly-hero-2.jpg
0,Pre-Opera Talk,"Tuesday, March 25, 2025 | 06:00 PM",Benedum Center,https://pittsburghopera.org/calendar/pre-opera-talk1,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/0012%20Barber%20Opening%20Night.jpg
0,MADAMA BUTTERFLY,"Tuesday, March 25, 2025 | 07:00 PM",N/A,https://www.pittsburghopera.org/season/madama-butterfly,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/butterfly-hero.jpg
0,Meet The Artists - Madama Butterfly,"Tuesday, March 25, 2025 | 10:00 PM",Benedum Center,https://pittsburghopera.org/calendar/meet-the-artists-madama-butterfly,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/events/Meet_the_Artists.png
0,MADAMA BUTTERFLY - STUDENT MATINEE,"Thursday, March 27, 2025 | 10:15 AM - 01:00 PM",Benedum Center,https://pittsburghopera.org/calendar/madama-butterfly-student-matinee,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/0002_The_Barber_Of_Seville_Student_Matinee_Low_Res.jpg
0,Pre-Opera Talk,"Friday, March 28, 2025 | 06:30 PM",Benedum Center,https://pittsburghopera.org/calendar/pre-opera-talkbutterfly2,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/0012%20Barber%20Opening%20Night.jpg
0,MADAMA BUTTERFLY,"Friday, March 28, 2025 | 07:30 PM",N/A,https://www.pittsburghopera.org/season/madama-butterfly,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/butterfly-hero.jpg
0,Pre-Opera Talk,"Sunday, March 30, 2025 | 01:00 PM",Benedum Center,https://pittsburghopera.org/calendar/pre-opera-talkbutterfly3,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/0012%20Barber%20Opening%20Night.jpg
0,MADAMA BUTTERFLY,"Sunday, March 30, 2025 | 02:00 PM",N/A,https://www.pittsburghopera.org/season/madama-butterfly,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/butterfly-hero.jpg
1,April Song Shop,"Saturday, April 12, 2025 | 12:00 PM - 01:00 PM",Bitz Opera Factory,https://pittsburghopera.org/calendar/april-song-shop-25,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/Website%20Files/Imported_Blog_Media/SongShopPagePic.png
1,Woman With Eyes Closed Preview On WQED-FM 89.3 And Wqed.Org/Fm,"Saturday, April 19, 2025 | 12:30 PM",WQED-FM 89.3 and wqed.org/fm,http://wqed.org/fm/,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/events/WQED_PMF.png
1,Woman With Eyes Closed Preview On WQED-FM 89.3 And Wqed.Org/Fm,"Friday, April 25, 2025 | 07:00 PM",WQED-FM 89.3 and wqed.org/fm,http://wqed.org/fm/,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/events/WQED_PMF.png
1,WOMAN WITH EYES CLOSED,"Saturday, April 26, 2025 | 08:00 PM",N/A,https://www.pittsburghopera.org/season/woman-with-eyes-closed,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/wwec-hero-1.jpg
1,WOMAN WITH EYES CLOSED,"Tuesday, April 29, 2025 | 07:00 PM",N/A,https://www.pittsburghopera.org/season/woman-with-eyes-closed,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/wwec-hero-1.jpg
1,Meet The Artists - Woman With Eyes Close,"Tuesday, April 29, 2025 | 09:00 PM",Bitz Opera Factory,https://pittsburghopera.org/calendar/meet-the-artists-woman-with-eyes-closed,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/events/Meet_the_Artists.png
2,WOMAN WITH EYES CLOSED,"Friday, May 2, 2025 | 07:30 PM",N/A,https://www.pittsburghopera.org/season/woman-with-eyes-closed,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/wwec-hero-1.jpg
2,WOMAN WITH EYES CLOSED,"Saturday, May 3, 2025 | 02:00 PM",Bitz Opera Factory,https://www.pittsburghopera.org/season/woman-with-eyes-closed,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/wwec-sq-notext.jpg
2,WOMAN WITH EYES CLOSED,"Sunday, May 4, 2025 | 04:00 PM",N/A,https://www.pittsburghopera.org/season/woman-with-eyes-closed,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/wwec-hero-1.jpg
2,Maecenas XL,"Saturday, May 17, 2025 | 07:00 PM - 10:00 PM",Monterey Bay Fish Grotto,https://pittsburghopera.org/calendar/maecenas-xl,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/0579%20Maecenas%20XXXVIII.jpg
4,Bravo Academy Session 1,"Monday, July 7, 2025 to Friday, July 11, 2025 | 09:00 AM - 04:00 PM",Bitz Opera Factory,https://pittsburghopera.org/calendar/bravo1,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/0049%20Summer%20Camp%202024-1.jpg
4,Bravo Academy Session 2,"Monday, July 14, 2025 to Friday, July 18, 2025 | 09:00 AM - 04:00 PM",Bitz Opera Factory,https://pittsburghopera.org/calendar/bravo2,https://44143915.fs1.hubspotusercontent-na1.net/hubfs/44143915/0049%20Summer%20Camp%202024-1.jpg
